atm_id,latitude,longitude,h3_index,is_synthetic
ATM-0001,19.100836,72.915918,mock_h3_0,True
ATM-0002,19.069087,72.849441,mock_h3_1,True
ATM-0003,19.108384,72.83609,mock_h3_2,True
ATM-0004,19.152151,72.876831,mock_h3_3,True
ATM-0005,19.064292,72.868491,mock_h3_4,True
ATM-0006,19.064293,72.854339,mock_h3_5,True
ATM-0007,19.154961,72.911819,mock_h3_6,True
ATM-0008,19.114372,72.924765,mock_h3_7,True
ATM-0009,19.052526,72.88142,mock_h3_8,True
ATM-0010,19.103128,72.950877,mock_h3_9,True
ATM-0011,19.052829,72.819916,mock_h3_10,True
ATM-0012,19.075,72.88,mock_h3_11,True
ATM-0013,19.088098,72.841159,mock_h3_12,True
ATM-0014,18.980336,72.783673,mock_h3_13,True
ATM-0015,19.077,72.879,mock_h3_14,True
ATM-0016,19.047886,72.870913,mock_h3_15,True
ATM-0017,19.025358,72.952672,mock_h3_16,True
ATM-0018,19.091712,72.908541,mock_h3_17,True
ATM-0019,19.030599,72.825791,mock_h3_18,True
ATM-0020,19.005385,72.969705,mock_h3_19,True
ATM-0021,19.149282,72.938052,mock_h3_20,True
ATM-0022,19.064711,72.906105,mock_h3_21,True
ATM-0023,19.079376,72.865676,mock_h3_22,True
ATM-0024,19.004763,72.829028,mock_h3_23,True
ATM-0025,19.048781,72.85839,mock_h3_24,True
ATM-0026,19.081546,72.931437,mock_h3_25,True
ATM-0027,19.01845,72.971229,mock_h3_26,True
ATM-0028,19.094785,72.954162,mock_h3_27,True
ATM-0029,19.045968,72.852558,mock_h3_28,True
ATM-0030,19.061415,72.821019,mock_h3_29,True
ATM-0031,19.045915,72.884044,mock_h3_30,True
ATM-0032,19.168614,72.788578,mock_h3_31,True
ATM-0033,19.075325,72.893158,mock_h3_32,True
ATM-0034,19.023114,72.86962,mock_h3_33,True
ATM-0035,19.117127,72.853698,mock_h3_34,True
ATM-0036,19.014958,72.797265,mock_h3_35,True
ATM-0037,19.086443,72.90268,mock_h3_36,True
ATM-0038,18.978016,72.850365,mock_h3_37,True
ATM-0039,19.009591,72.818504,mock_h3_38,True
ATM-0040,19.085843,72.733387,mock_h3_39,True
ATM-0041,19.112923,72.875624,mock_h3_40,True
ATM-0042,19.084568,72.965613,mock_h3_41,True
ATM-0043,19.070218,72.960063,mock_h3_42,True
ATM-0044,19.060945,72.854145,mock_h3_43,True
ATM-0045,19.078,72.875,mock_h3_44,True
ATM-0046,19.040008,72.900439,mock_h3_45,True
ATM-0047,19.052968,72.827081,mock_h3_46,True
ATM-0048,19.128856,72.89209,mock_h3_47,True
ATM-0049,19.093181,72.915304,mock_h3_48,True
ATM-0050,18.987848,72.938347,mock_h3_49,True
ATM-0051,19.092204,72.871992,mock_h3_50,True
ATM-0052,19.056746,72.866816,mock_h3_51,True
ATM-0053,19.042154,72.833101,mock_h3_52,True
ATM-0054,19.106584,72.835656,mock_h3_53,True
ATM-0055,19.12755,72.865676,mock_h3_54,True
ATM-0056,19.122564,72.895368,mock_h3_55,True
ATM-0057,19.034039,72.922679,mock_h3_56,True
ATM-0058,19.060539,72.836841,mock_h3_57,True
ATM-0059,19.092563,72.951634,mock_h3_58,True
ATM-0060,19.124777,72.863444,mock_h3_59,True
ATM-0061,19.052041,72.875932,mock_h3_60,True
ATM-0062,19.066717,72.839639,mock_h3_61,True
ATM-0063,19.020683,72.755788,mock_h3_62,True
ATM-0064,19.01619,72.921202,mock_h3_63,True
ATM-0065,19.116626,72.913842,mock_h3_64,True
ATM-0066,19.143812,72.862934,mock_h3_65,True
ATM-0067,19.072399,72.88035,mock_h3_66,True
ATM-0068,19.126177,72.902797,mock_h3_67,True
ATM-0069,19.094082,72.798873,mock_h3_68,True
ATM-0070,19.043744,72.850547,mock_h3_69,True
ATM-0071,19.09407,72.916713,mock_h3_70,True
ATM-0072,19.152902,72.814286,mock_h3_71,True
ATM-0073,19.074209,72.891678,mock_h3_72,True
ATM-0074,19.154232,72.809171,mock_h3_73,True
ATM-0075,18.945013,72.900321,mock_h3_74,True
ATM-0076,19.117095,72.875218,mock_h3_75,True
ATM-0077,19.080352,72.796243,mock_h3_76,True
ATM-0078,19.06105,72.935237,mock_h3_77,True
ATM-0079,19.080588,72.84027,mock_h3_78,True
ATM-0080,18.976622,72.836487,mock_h3_79,True
ATM-0081,19.065016,72.887028,mock_h3_80,True
ATM-0082,19.093856,72.934432,mock_h3_81,True
ATM-0083,19.149895,72.826209,mock_h3_82,True
ATM-0084,19.050086,72.880084,mock_h3_83,True
ATM-0085,19.035575,72.898441,mock_h3_84,True
ATM-0086,19.050912,72.911655,mock_h3_85,True
ATM-0087,19.12177,72.885822,mock_h3_86,True
ATM-0088,19.092438,72.858649,mock_h3_87,True
ATM-0089,19.049512,72.83562,mock_h3_88,True
ATM-0090,19.101663,72.881307,mock_h3_89,True
ATM-0091,19.080854,72.823393,mock_h3_90,True
ATM-0092,19.081,72.882,mock_h3_91,True
ATM-0093,19.040897,72.898828,mock_h3_92,True
ATM-0094,19.059617,72.922197,mock_h3_93,True
ATM-0095,19.056395,72.758853,mock_h3_94,True
ATM-0096,19.002824,72.826513,mock_h3_95,True
ATM-0097,19.090806,72.907958,mock_h3_96,True
ATM-0098,19.089053,72.979875,mock_h3_97,True
ATM-0099,19.076256,72.87804,mock_h3_98,True
ATM-0100,19.064271,72.8406,mock_h3_99,True
ATM-0101,19.005231,72.867855,mock_h3_100,True
ATM-0102,19.054968,72.945744,mock_h3_101,True
ATM-0103,19.058864,72.844702,mock_h3_102,True
ATM-0104,19.035886,72.83704,mock_h3_103,True
ATM-0105,19.067936,72.852863,mock_h3_104,True
ATM-0106,19.096203,72.829334,mock_h3_105,True
ATM-0107,19.170309,72.883134,mock_h3_106,True
ATM-0108,19.084729,72.958234,mock_h3_107,True
ATM-0109,19.088878,72.893154,mock_h3_108,True
ATM-0110,19.072278,72.864382,mock_h3_109,True
ATM-0111,18.980061,72.862409,mock_h3_110,True
ATM-0112,19.074674,72.79884,mock_h3_111,True
ATM-0113,19.079012,72.921155,mock_h3_112,True
ATM-0114,19.199162,72.873108,mock_h3_113,True
ATM-0115,19.066382,72.867976,mock_h3_114,True
ATM-0116,19.091077,73.036655,mock_h3_115,True
ATM-0117,19.074264,72.891938,mock_h3_116,True
ATM-0118,19.017566,72.83941,mock_h3_117,True
ATM-0119,19.133141,72.855682,mock_h3_118,True
ATM-0120,19.113597,72.934422,mock_h3_119,True
ATM-0121,19.115552,72.882664,mock_h3_120,True
ATM-0122,19.030531,72.805086,mock_h3_121,True
ATM-0123,19.14614,72.922961,mock_h3_122,True
ATM-0124,19.005907,72.843593,mock_h3_123,True
ATM-0125,19.105343,72.970665,mock_h3_124,True
ATM-0126,19.185523,72.931002,mock_h3_125,True
ATM-0127,19.026473,72.854634,mock_h3_126,True
ATM-0128,19.047685,72.941051,mock_h3_127,True
ATM-0129,19.080983,72.880393,mock_h3_128,True
ATM-0130,19.050826,72.919639,mock_h3_129,True
ATM-0131,18.998467,72.901237,mock_h3_130,True
ATM-0132,19.079428,72.834682,mock_h3_131,True
ATM-0133,19.022885,72.844823,mock_h3_132,True
ATM-0134,19.09968,72.928498,mock_h3_133,True
ATM-0135,19.030029,72.860261,mock_h3_134,True
ATM-0136,19.153497,72.856818,mock_h3_135,True
ATM-0137,19.036837,72.829244,mock_h3_136,True
ATM-0138,19.059897,72.89818,mock_h3_137,True
ATM-0139,19.116676,72.980126,mock_h3_138,True
ATM-0140,19.014457,72.823623,mock_h3_139,True
ATM-0141,19.087373,72.878211,mock_h3_140,True
ATM-0142,19.141357,72.947611,mock_h3_141,True
ATM-0143,18.995626,72.873018,mock_h3_142,True
ATM-0144,19.085232,72.899619,mock_h3_143,True
ATM-0145,19.088994,72.82388,mock_h3_144,True
ATM-0146,19.115091,72.898415,mock_h3_145,True
ATM-0147,19.014152,72.867643,mock_h3_146,True
ATM-0148,19.009977,72.926286,mock_h3_147,True
ATM-0149,19.102097,72.936369,mock_h3_148,True
ATM-0150,19.090849,73.006478,mock_h3_149,True
ATM-0151,19.088525,72.905982,mock_h3_150,True
ATM-0152,19.093322,72.89329,mock_h3_151,True
ATM-0153,19.041999,72.886719,mock_h3_152,True
ATM-0154,19.087613,72.859342,mock_h3_153,True
ATM-0155,19.090654,72.893924,mock_h3_154,True
ATM-0156,19.040282,72.86223,mock_h3_155,True
ATM-0157,19.169289,72.885423,mock_h3_156,True
ATM-0158,19.099692,72.94288,mock_h3_157,True
ATM-0159,19.016435,72.826673,mock_h3_158,True
ATM-0160,19.108828,72.933994,mock_h3_159,True
ATM-0161,19.027266,72.942856,mock_h3_160,True
ATM-0162,19.115354,72.871097,mock_h3_161,True
ATM-0163,19.13393,72.770907,mock_h3_162,True
ATM-0164,19.034966,72.846609,mock_h3_163,True
ATM-0165,19.124169,72.94185,mock_h3_164,True
ATM-0166,19.096639,72.875857,mock_h3_165,True
ATM-0167,19.117103,72.827035,mock_h3_166,True
