case_id,account_id,fraud_amount,timestamp,is_synthetic
C10000,ACC-06679,5250.11,2026-08-21 09:00:00,True
C10001,ACC-06683,84754.44,2026-09-02 05:00:00,True
C10002,ACC-05068,11981.39,2026-09-10 07:00:00,True
C10003,ACC-03462,6554.79,2026-08-31 04:00:00,True
C10004,ACC-03956,69481.58,2026-08-17 02:00:00,True
C10005,ACC-03384,10773.52,2026-08-14 01:00:00,True
C10006,ACC-00611,5458.24,2026-08-19 10:00:00,True
C10007,ACC-05754,14852.22,2026-09-03 03:00:00,True
C10008,ACC-02404,13664.84,2026-08-14 05:00:00,True
C10009,ACC-03297,9534.1,2026-08-29 04:00:00,True
C10010,ACC-00770,6626.54,2026-08-15 01:00:00,True
C10011,ACC-07926,11701.75,2026-08-30 06:00:00,True
C10012,ACC-05314,11480.35,2026-08-18 15:00:00,True
C10013,ACC-01443,36878.63,2026-08-21 16:00:00,True
C10014,ACC-00120,8146.78,2026-08-22 14:00:00,True
C10015,ACC-05005,50781.38,2026-08-20 21:00:00,True
C10016,ACC-05089,32923.92,2026-08-21 22:00:00,True
C10017,ACC-00956,58879.24,2026-08-16 20:00:00,True
C10018,ACC-05165,61406.07,2026-09-07 19:00:00,True
C10019,ACC-04800,7246.97,2026-09-07 05:00:00,True
C10020,ACC-02313,10883.09,2026-08-31 12:00:00,True
C10021,ACC-02423,7202.17,2026-09-02 18:00:00,True
C10022,ACC-02704,11311.03,2026-09-07 14:00:00,True
C10023,ACC-00081,14054.2,2026-09-03 10:00:00,True
C10024,ACC-05166,5708.57,2026-08-14 02:00:00,True
C10025,ACC-06705,88907.93,2026-09-03 04:00:00,True
C10026,ACC-06818,5505.88,2026-08-24 09:00:00,True
C10027,ACC-04107,14689.96,2026-08-24 12:00:00,True
C10028,ACC-00408,6663.11,2026-08-17 05:00:00,True
C10029,ACC-02763,7137.47,2026-08-25 21:00:00,True
C10030,ACC-04520,6646.37,2026-08-29 11:00:00,True
C10031,ACC-06481,7652.03,2026-09-10 00:00:00,True
C10032,ACC-05701,7852.49,2026-08-15 22:00:00,True
C10033,ACC-05677,14954.23,2026-08-18 13:00:00,True
C10034,ACC-05242,53537.99,2026-08-23 15:00:00,True
C10035,ACC-02689,10227.83,2026-08-22 18:00:00,True
C10036,ACC-03362,11697.26,2026-09-02 06:00:00,True
C10037,ACC-00752,7656.15,2026-08-31 05:00:00,True
C10038,ACC-00307,11455.01,2026-09-05 15:00:00,True
C10039,ACC-06793,14290.18,2026-08-27 02:00:00,True
C10040,ACC-06620,9582.86,2026-09-08 12:00:00,True
C10041,ACC-00124,5732.61,2026-08-23 09:00:00,True
C10042,ACC-07679,7652.0,2026-09-03 20:00:00,True
C10043,ACC-01746,68386.39,2026-08-30 10:00:00,True
C10044,ACC-02757,7035.97,2026-08-19 02:00:00,True
C10045,ACC-03658,10054.09,2026-08-21 04:00:00,True
C10046,ACC-07429,5922.98,2026-09-02 11:00:00,True
C10047,ACC-06034,5440.87,2026-08-28 04:00:00,True
C10048,ACC-07375,11371.13,2026-08-31 08:00:00,True
C10049,ACC-02484,12412.31,2026-09-02 07:00:00,True
C10050,ACC-04352,9276.87,2026-08-23 14:00:00,True
C10051,ACC-04254,5752.44,2026-09-10 09:00:00,True
C10052,ACC-07281,10455.9,2026-08-19 08:00:00,True
C10053,ACC-00226,10825.1,2026-08-15 01:00:00,True
C10054,ACC-00345,6274.46,2026-09-05 23:00:00,True
C10055,ACC-06823,13989.81,2026-09-01 01:00:00,True
C10056,ACC-04234,13989.25,2026-08-16 11:00:00,True
C10057,ACC-01050,7495.3,2026-09-03 15:00:00,True
C10058,ACC-01349,12801.16,2026-09-07 01:00:00,True
C10059,ACC-05703,14738.37,2026-08-13 23:00:00,True
C10060,ACC-06057,93476.15,2026-08-18 08:00:00,True
C10061,ACC-00384,13205.36,2026-08-30 03:00:00,True
C10062,ACC-04884,7229.24,2026-08-14 05:00:00,True
C10063,ACC-00116,8984.66,2026-08-20 06:00:00,True
C10064,ACC-02590,14668.89,2026-09-02 10:00:00,True
C10065,ACC-04425,11414.82,2026-09-02 01:00:00,True
C10066,ACC-05658,14811.5,2026-08-28 15:00:00,True
C10067,ACC-07586,14392.37,2026-08-24 02:00:00,True
C10068,ACC-01594,6785.68,2026-09-07 04:00:00,True
C10069,ACC-04271,6084.03,2026-09-02 11:00:00,True
C10070,ACC-00119,12285.45,2026-08-28 01:00:00,True
C10071,ACC-07168,11062.09,2026-08-30 23:00:00,True
C10072,ACC-03007,8851.95,2026-08-25 09:00:00,True
C10073,ACC-04856,35347.21,2026-08-23 06:00:00,True
C10074,ACC-02390,11773.18,2026-08-20 00:00:00,True
C10075,ACC-01353,10691.05,2026-09-04 17:00:00,True
C10076,ACC-00319,13337.25,2026-08-28 19:00:00,True
C10077,ACC-02515,7101.83,2026-09-01 03:00:00,True
C10078,ACC-02738,11066.62,2026-08-15 18:00:00,True
C10079,ACC-05488,75009.79,2026-08-30 22:00:00,True
C10080,ACC-04772,12784.2,2026-08-17 09:00:00,True
C10081,ACC-04951,13041.1,2026-09-03 07:00:00,True
C10082,ACC-03313,9645.5,2026-08-18 20:00:00,True
C10083,ACC-04437,14174.7,2026-08-24 05:00:00,True
C10084,ACC-00626,80142.14,2026-09-06 22:00:00,True
C10085,ACC-05177,7773.11,2026-08-14 16:00:00,True
C10086,ACC-01947,9845.97,2026-08-16 20:00:00,True
C10087,ACC-07962,20471.69,2026-09-03 04:00:00,True
C10088,ACC-01203,12534.75,2026-08-30 03:00:00,True
C10089,ACC-06006,10382.21,2026-08-13 23:00:00,True
C10090,ACC-02999,12998.68,2026-08-17 19:00:00,True
C10091,ACC-04321,7194.22,2026-09-02 21:00:00,True
C10092,ACC-06284,5290.25,2026-08-27 21:00:00,True
C10093,ACC-01064,11791.42,2026-08-30 15:00:00,True
C10094,ACC-02405,36932.82,2026-08-28 13:00:00,True
C10095,ACC-01870,12612.3,2026-08-31 02:00:00,True
C10096,ACC-06701,12520.1,2026-08-29 04:00:00,True
C10097,ACC-02987,7522.72,2026-08-14 23:00:00,True
C10098,ACC-01415,5193.83,2026-09-07 21:00:00,True
C10099,ACC-00227,14999.08,2026-08-24 11:00:00,True
C10100,ACC-06005,11501.44,2026-08-30 05:00:00,True
C10101,ACC-07318,5402.58,2026-08-16 16:00:00,True
C10102,ACC-06761,94310.97,2026-09-10 05:00:00,True
C10103,ACC-01107,14080.26,2026-08-22 15:00:00,True
C10104,ACC-02129,14414.71,2026-08-29 00:00:00,True
C10105,ACC-01028,10920.98,2026-09-04 10:00:00,True
C10106,ACC-01344,48975.04,2026-08-14 16:00:00,True
C10107,ACC-05065,56064.16,2026-08-14 22:00:00,True
C10108,ACC-04422,10698.5,2026-08-16 22:00:00,True
C10109,ACC-04636,8363.97,2026-08-20 00:00:00,True
C10110,ACC-01429,6818.4,2026-08-26 02:00:00,True
C10111,ACC-06569,12978.32,2026-09-04 01:00:00,True
C10112,ACC-02347,13803.2,2026-08-31 04:00:00,True
C10113,ACC-02894,10557.91,2026-08-19 04:00:00,True
C10114,ACC-05759,5856.13,2026-08-25 06:00:00,True
C10115,ACC-03940,9885.78,2026-08-17 23:00:00,True
C10116,ACC-05487,11906.09,2026-08-17 05:00:00,True
C10117,ACC-04743,9908.21,2026-08-20 14:00:00,True
C10118,ACC-02019,5930.53,2026-08-16 12:00:00,True
C10119,ACC-07765,11917.87,2026-09-03 00:00:00,True
C10120,ACC-05430,10815.56,2026-08-31 15:00:00,True
C10121,ACC-04679,10309.22,2026-08-25 19:00:00,True
C10122,ACC-00094,10503.88,2026-08-27 13:00:00,True
C10123,ACC-02932,9537.45,2026-08-29 14:00:00,True
C10124,ACC-01742,34355.32,2026-09-01 04:00:00,True
C10125,ACC-01259,10341.35,2026-09-09 14:00:00,True
C10126,ACC-06231,14742.95,2026-09-02 11:00:00,True
C10127,ACC-01930,11974.17,2026-08-24 03:00:00,True
C10128,ACC-04133,83259.27,2026-09-05 16:00:00,True
C10129,ACC-02699,8803.78,2026-09-02 20:00:00,True
C10130,ACC-02340,13601.67,2026-08-27 03:00:00,True
C10131,ACC-00224,10686.29,2026-08-28 03:00:00,True
C10132,ACC-02391,14601.09,2026-09-08 17:00:00,True
C10133,ACC-06871,11255.15,2026-09-07 06:00:00,True
C10134,ACC-01447,5811.87,2026-09-01 15:00:00,True
C10135,ACC-06527,10519.92,2026-09-03 07:00:00,True
C10136,ACC-05023,9085.18,2026-09-05 12:00:00,True
C10137,ACC-03137,9699.12,2026-08-18 17:00:00,True
C10138,ACC-05528,7881.05,2026-09-09 05:00:00,True
C10139,ACC-06056,13596.07,2026-08-31 14:00:00,True
C10140,ACC-01498,7334.24,2026-09-07 15:00:00,True
C10141,ACC-00075,21659.64,2026-09-01 16:00:00,True
