tx_id,sender_account_id,receiver_account_id,amount,timestamp,is_fraud,case_id,is_synthetic
TX-000001,ACC-00655,ACC-00115,22.26,2026-09-02 05:00:00,0,,True
TX-000002,ACC-00229,ACC-00143,370.87,2026-08-19 13:00:00,0,,True
TX-000003,ACC-00914,ACC-00559,52.6,2026-08-28 11:00:00,0,,True
TX-000004,ACC-00031,ACC-00096,117.13,2026-08-24 17:00:00,0,,True
TX-000005,ACC-00028,ACC-00575,107.43,2026-08-20 14:00:00,0,,True
TX-000006,ACC-00559,ACC-00430,118.02,2026-08-23 04:00:00,0,,True
TX-000007,ACC-00829,ACC-00891,13.18,2026-08-16 07:00:00,0,,True
TX-000008,ACC-00715,ACC-00433,176.72,2026-09-06 06:00:00,0,,True
TX-000009,ACC-00981,ACC-00782,174.93,2026-09-08 00:00:00,0,,True
TX-000010,ACC-00100,ACC-00368,425.27,2026-08-22 04:00:00,0,,True
TX-000011,ACC-00827,ACC-00045,367.57,2026-08-24 09:00:00,0,,True
TX-000012,ACC-00997,ACC-00945,195.48,2026-08-24 03:00:00,0,,True
TX-000013,ACC-00850,ACC-00644,313.07,2026-08-14 01:00:00,0,,True
TX-000014,ACC-00592,ACC-00197,355.24,2026-09-08 15:00:00,0,,True
TX-000015,ACC-00234,ACC-00792,151.8,2026-09-08 05:00:00,0,,True
TX-000016,ACC-00888,ACC-00104,196.26,2026-08-26 16:00:00,0,,True
TX-000017,ACC-00855,ACC-00374,89.7,2026-08-30 06:00:00,0,,True
TX-000018,ACC-00687,ACC-00274,353.89,2026-08-19 16:00:00,0,,True
TX-000019,ACC-00074,ACC-00624,321.14,2026-08-23 13:00:00,0,,True
TX-000020,ACC-00251,ACC-00168,236.51,2026-09-01 16:00:00,0,,True
TX-000021,ACC-00705,ACC-00571,117.61,2026-08-31 11:00:00,0,,True
TX-000022,ACC-00235,ACC-00842,25.73,2026-08-31 00:00:00,0,,True
TX-000023,ACC-00275,ACC-00068,113.38,2026-08-10 18:00:00,0,,True
TX-000024,ACC-00898,ACC-00736,164.19,2026-08-20 21:00:00,0,,True
TX-000025,ACC-00406,ACC-00906,458.13,2026-08-27 08:00:00,0,,True
TX-000026,ACC-00272,ACC-00143,130.85,2026-08-23 19:00:00,0,,True
TX-000027,ACC-00270,ACC-00765,296.45,2026-08-12 18:00:00,0,,True
TX-000028,ACC-00409,ACC-00371,117.47,2026-09-05 20:00:00,0,,True
TX-000029,ACC-00506,ACC-00094,380.33,2026-08-14 09:00:00,0,,True
TX-000030,ACC-00157,ACC-00643,88.39,2026-08-19 23:00:00,0,,True
TX-000031,ACC-00611,ACC-00066,198.54,2026-08-21 22:00:00,0,,True
TX-000032,ACC-00542,ACC-00258,485.83,2026-08-14 12:00:00,0,,True
TX-000033,ACC-00697,ACC-00739,66.13,2026-08-12 19:00:00,0,,True
TX-000034,ACC-00769,ACC-00274,386.61,2026-08-31 09:00:00,0,,True
TX-000035,ACC-00301,ACC-00446,87.5,2026-09-09 13:00:00,0,,True
TX-000036,ACC-00897,ACC-00737,139.06,2026-08-25 07:00:00,0,,True
TX-000037,ACC-00520,ACC-00935,62.14,2026-08-21 03:00:00,0,,True
TX-000038,ACC-00862,ACC-00655,258.75,2026-09-04 08:00:00,0,,True
TX-000039,ACC-00383,ACC-00781,89.16,2026-08-10 20:00:00,0,,True
TX-000040,ACC-00941,ACC-00001,303.48,2026-08-26 12:00:00,0,,True
TX-000041,ACC-00115,ACC-00952,187.86,2026-08-15 03:00:00,0,,True
TX-000042,ACC-00246,ACC-00060,128.03,2026-08-23 10:00:00,0,,True
TX-000043,ACC-00088,ACC-00750,248.14,2026-09-07 19:00:00,0,,True
TX-000044,ACC-00785,ACC-00129,72.91,2026-08-25 19:00:00,0,,True
TX-000045,ACC-00170,ACC-00272,268.56,2026-08-21 23:00:00,0,,True
TX-000046,ACC-00988,ACC-00217,465.17,2026-08-16 13:00:00,0,,True
TX-000047,ACC-00707,ACC-00206,359.34,2026-08-28 15:00:00,0,,True
TX-000048,ACC-00666,ACC-00383,224.67,2026-08-24 22:00:00,0,,True
TX-000049,ACC-00124,ACC-00254,120.1,2026-08-31 12:00:00,0,,True
TX-000050,ACC-00603,ACC-00568,122.76,2026-09-03 12:00:00,0,,True
TX-000051,ACC-00073,ACC-00725,319.24,2026-09-03 10:00:00,0,,True
TX-000052,ACC-00928,ACC-00033,431.22,2026-09-07 20:00:00,0,,True
TX-000053,ACC-00244,ACC-00286,337.8,2026-09-03 19:00:00,0,,True
TX-000054,ACC-00136,ACC-00741,468.4,2026-08-22 18:00:00,0,,True
TX-000055,ACC-00485,ACC-00249,394.46,2026-08-15 23:00:00,0,,True
TX-000056,ACC-00195,ACC-00097,57.5,2026-08-28 01:00:00,0,,True
TX-000057,ACC-00434,ACC-00421,238.84,2026-08-18 11:00:00,0,,True
TX-000058,ACC-00690,ACC-00670,492.24,2026-09-07 11:00:00,0,,True
TX-000059,ACC-00413,ACC-00746,176.26,2026-08-14 09:00:00,0,,True
TX-000060,ACC-00255,ACC-00197,103.2,2026-08-27 08:00:00,0,,True
TX-000061,ACC-00433,ACC-00188,146.49,2026-09-03 10:00:00,0,,True
TX-000062,ACC-00454,ACC-00828,432.06,2026-08-24 09:00:00,0,,True
TX-000063,ACC-00052,ACC-00668,499.65,2026-08-15 12:00:00,0,,True
TX-000064,ACC-00993,ACC-00096,463.92,2026-08-14 05:00:00,0,,True
TX-000065,ACC-00171,ACC-00417,247.96,2026-09-04 00:00:00,0,,True
TX-000066,ACC-00925,ACC-00061,90.67,2026-09-10 00:00:00,0,,True
TX-000067,ACC-00272,ACC-00949,394.19,2026-08-27 03:00:00,0,,True
TX-000068,ACC-00434,ACC-00714,479.09,2026-08-15 19:00:00,0,,True
TX-000069,ACC-00678,ACC-00736,248.47,2026-09-04 03:00:00,0,,True
TX-000070,ACC-00223,ACC-00992,38.66,2026-08-17 19:00:00,0,,True
TX-000071,ACC-00063,ACC-00766,163.67,2026-09-08 18:00:00,0,,True
TX-000072,ACC-00489,ACC-00515,460.5,2026-08-25 07:00:00,0,,True
TX-000073,ACC-00059,ACC-00984,258.84,2026-08-14 07:00:00,0,,True
TX-000074,ACC-00071,ACC-00610,43.3,2026-08-14 05:00:00,0,,True
TX-000075,ACC-00414,ACC-00123,471.38,2026-08-23 05:00:00,0,,True
TX-000076,ACC-00593,ACC-00609,29.47,2026-09-07 23:00:00,0,,True
TX-000077,ACC-00674,ACC-00598,286.96,2026-08-31 04:00:00,0,,True
TX-000078,ACC-00210,ACC-00686,360.93,2026-09-03 04:00:00,0,,True
TX-000079,ACC-00406,ACC-00135,339.13,2026-08-31 22:00:00,0,,True
TX-000080,ACC-00324,ACC-00952,378.41,2026-09-08 12:00:00,0,,True
TX-000081,ACC-00470,ACC-00637,499.24,2026-09-07 10:00:00,0,,True
TX-000082,ACC-00551,ACC-00219,257.88,2026-09-06 01:00:00,0,,True
TX-000083,ACC-00903,ACC-00071,440.84,2026-08-30 03:00:00,0,,True
TX-000084,ACC-00162,ACC-00449,418.54,2026-08-19 03:00:00,0,,True
TX-000085,ACC-00627,ACC-00827,330.45,2026-09-09 15:00:00,0,,True
